車款名稱,成本底價,備註
BMW 黑 (2013),261486,"里程: 261,486km, 評價: N, 來源: PDF"
BMW 藍 (2021),802000,"里程: 57,650km, 評價: , 來源: PDF"
BMW 白 (2014),416000,"里程: 157,510km, 評價: A+, 來源: PDF"
BMW 棕 (2016),370000,"里程: 94,063km, 評價: B, 來源: PDF"
BMW 黑 (2023),1686000,"里程: 24,410km, 評價: A+, 來源: PDF"
BMW 黑 (2013),262418,"里程: 262,418km, 評價: B, 來源: PDF"
BMW 藍 (2014),229909,"里程: 229,909km, 評價: A, 來源: PDF"
BMW 黑 (2015),159000,"里程: 108,526km, 評價: B, 來源: PDF"
BMW 黑 (2017),626000,"里程: 150,231km, 評價: B+, 來源: PDF"
BMW 白 (2017),720000,"里程: 88,933km, 評價: A+, 來源: PDF"
BMW 深灰 (2021),998000,"里程: 94,443km, 評價: A, 來源: PDF"
BMW 黑 (2022),1380000,"里程: 17,953km, 評價: , 來源: PDF"
BMW 銀 (2005),335636,"里程: 335,636km, 評價: , 來源: PDF"
BMW 白黑 (2013),251091,"里程: 251,091km, 評價: B, 來源: PDF"
BMW 黑 (2013),212693,"里程: 212,693km, 評價: B, 來源: PDF"
BMW 白 (2021),1360000,"里程: 81,363km, 評價: B+, 來源: PDF"
BMW 白藍黑紅 (2017),1076000,"里程: 143,522km, 評價: A, 來源: PDF"
BMW 白 (2016),432000,"里程: 238,119km, 評價: B+, 來源: PDF"
BMW 黑 (2016),423000,"里程: 140,470km, 評價: B+, 來源: PDF"
BMW 118i 白 (2012),258281,"里程: 258,281km, 評價: B, 來源: PDF"
BMW 118i 白 (2015),105029,"里程: 105,029km, 評價: N, 來源: PDF"
BMW 118i 白 (2017),340000,"里程: 81,356km, 評價: A+, 來源: PDF"
BMW 118i 灰 (2019),603000,"里程: 122,049km, 評價: A, 來源: PDF"
BMW 120d 銀 (2012),123000,"里程: 104,100km, 評價: B+, 來源: PDF"
BMW 218d 藍 (2014),205000,"里程: 54,377km, 評價: A, 來源: PDF"
BMW 218d 銀 (2015),182000,"里程: 179,219km, 評價: A+, 來源: PDF"
BMW 218i 白 (2017),308000,"里程: 43,391km, 評價: A, 來源: PDF"
BMW 318d 白 (2011),274957,"里程: 274,957km, 評價: A, 來源: PDF"
BMW 318d 白 (2013),284240,"里程: 284,240km, 評價: N, 來源: PDF"
BMW 320GT 黑 (2016),358075,"里程: 358,075km, 評價: B, 來源: PDF"
BMW 320i 黑 (2008),153067,"里程: 153,067km, 評價: B, 來源: PDF"
BMW 335i 黑 (2009),186593,"里程: 186,593km, 評價: A, 來源: PDF"
BMW 520d 深灰 (2015),315918,"里程: 315,918km, 評價: B, 來源: PDF"
BMW 740Li 黑 (2013),202051,"里程: 202,051km, 評價: B+, 來源: PDF"
BMW 740Li 黑 (2016),615000,"里程: 114,670km, 評價: A, 來源: PDF"
ACTIVE HYBRID 深灰 (2014),142274,"里程: 142,274km, 評價: , 來源: PDF"
BMW IX 深灰 (2023),2340000,"里程: 20,587km, 評價: A+, 來源: PDF"
BMW M235i 白 (2020),1034000,"里程: 55,954km, 評價: A+, 來源: PDF"
 (2025),202511,"里程: Unknown, 評價: , 來源: PDF"
BMW X1 白 (2010),103000,"里程: 52,303km, 評價: B+, 來源: PDF"
BMW X1 藍 (2014),165000,"里程: 141,843km, 評價: , 來源: PDF"
BMW X1 白 (2017),224000,"里程: 206,015km, 評價: B, 來源: PDF"
BMW X1 灰 (2017),371000,"里程: 96,105km, 評價: A+, 來源: PDF"
BMW X1 白 (2022),963000,"里程: 7,808km, 評價: A+, 來源: PDF"
BMW X3 白 (2014),123000,"里程: 117,765km, 評價: A, 來源: PDF"
BMW X3 白 (2014),230000,"里程: 210,562km, 評價: A, 來源: PDF"
BMW X4 白 (2014),442000,"里程: 75,571km, 評價: A+, 來源: PDF"
BMW X4 黑 (2015),370000,"里程: 110,685km, 評價: A, 來源: PDF"
BMW X4 黑 (2016),495000,"里程: 120,523km, 評價: B+, 來源: PDF"
BMW X4 白 (2020),800000,"里程: 156,755km, 評價: B+, 來源: PDF"
BMW X4 白 (2021),1250000,"里程: 39,056km, 評價: A, 來源: PDF"
BMW X5 黑 (2010),185285,"里程: 185,285km, 評價: B, 來源: PDF"
BMW X5 黑 (2012),156320,"里程: 156,320km, 評價: B, 來源: PDF"
BMW X5 白 (2016),300000,"里程: 187,156km, 評價: , 來源: PDF"
BMW X6 黑 (2012),211812,"里程: 211,812km, 評價: , 來源: PDF"
BMW X6 白 (2016),662000,"里程: 119,781km, 評價: A+, 來源: PDF"
BMW X7 藍 (2022),2159000,"里程: 41,079km, 評價: A+, 來源: PDF"
BMW X7 白 (2022),2250000,"里程: 32,070km, 評價: A+, 來源: PDF"
DAIHATSU TERIOS 灰 (2011),210743,"里程: 210,743km, 評價: A, 來源: PDF"
FORD FIESTA 白 (2014),102000,"里程: 99,375km, 評價: , 來源: PDF"
FORD FIESTA 白 (2014),130316,"里程: 130,316km, 評價: A+, 來源: PDF"
FORD FIESTA 灰 (2016),83945,"里程: 83,945km, 評價: B, 來源: PDF"
FORD FIESTA 白 (2017),119609,"里程: 119,609km, 評價: B, 來源: PDF"
FORD FIESTA 白 (2017),125000,"里程: 73,596km, 評價: A, 來源: PDF"
FORD FIESTA 白 (2017),110000,"里程: 86,668km, 評價: A, 來源: PDF"
FORD FIESTA 白 (2017),99438,"里程: 99,438km, 評價: , 來源: PDF"
FORD FIESTA 紅 (2019),99440,"里程: 99,440km, 評價: A, 來源: PDF"
FORD FOCUS 白 (2013),105859,"里程: 105,859km, 評價: A, 來源: PDF"
FORD FOCUS 銀黑 (2013),188969,"里程: 188,969km, 評價: B, 來源: PDF"
FORD FOCUS 紅 (2013),174460,"里程: 174,460km, 評價: B, 來源: PDF"
FORD FOCUS 灰 (2014),153427,"里程: 153,427km, 評價: N, 來源: PDF"
FORD FOCUS 白 (2014),97375,"里程: 97,375km, 評價: , 來源: PDF"
FORD FOCUS 白 (2014),169048,"里程: 169,048km, 評價: B+, 來源: PDF"
FORD FOCUS 白 (2014),113330,"里程: 113,330km, 評價: A, 來源: PDF"
FORD FOCUS 白 (2015),156552,"里程: 156,552km, 評價: B, 來源: PDF"
FORD FOCUS 白黑 (2015),111878,"里程: 111,878km, 評價: B+, 來源: PDF"
FORD FOCUS 白 (2016),138047,"里程: 138,047km, 評價: A+, 來源: PDF"
FORD FOCUS 白 (2016),150646,"里程: 150,646km, 評價: C+, 來源: PDF"
FORD FOCUS 灰 (2016),192485,"里程: 192,485km, 評價: B+, 來源: PDF"
FORD FOCUS 灰 (2017),122840,"里程: 122,840km, 評價: B+, 來源: PDF"
FORD FOCUS 紅 (2017),92770,"里程: 92,770km, 評價: A, 來源: PDF"
FORD FOCUS 紅 (2017),125000,"里程: 65,702km, 評價: B, 來源: PDF"
FORD FOCUS 白 (2017),167000,"里程: 62,351km, 評價: , 來源: PDF"
FORD FOCUS 白 (2018),222000,"里程: 90,275km, 評價: B, 來源: PDF"
FORD FOCUS 灰 (2019),215000,"里程: 113,906km, 評價: A, 來源: PDF"
FORD FOCUS 紅 (2019),190000,"里程: 44,926km, 評價: B+, 來源: PDF"
FORD FOCUS 藍 (2019),131000,"里程: 113,474km, 評價: A+, 來源: PDF"
FORD FOCUS 灰 (2019),205000,"里程: 131,006km, 評價: A+, 來源: PDF"
FORD FOCUS 白 (2019),232590,"里程: 232,590km, 評價: B, 來源: PDF"
FORD FOCUS 紅黑 (2019),396000,"里程: 72,573km, 評價: A+, 來源: PDF"
FORD FOCUS 灰 (2019),230000,"里程: 89,588km, 評價: N, 來源: PDF"
FORD FOCUS 紅 (2019),455000,"里程: 9,333km, 評價: A+, 來源: PDF"
FORD FOCUS 白 (2020),233000,"里程: 101,387km, 評價: A, 來源: PDF"
FORD FOCUS 白 (2020),289000,"里程: 145,933km, 評價: , 來源: PDF"
FORD FOCUS 灰 (2020),281000,"里程: 156,507km, 評價: A+, 來源: PDF"
FORD FOCUS 黑 (2020),404000,"里程: 149,346km, 評價: A+, 來源: PDF"
 (2025),202511,"里程: Unknown, 評價: , 來源: PDF"
FORD FOCUS 紅 (2020),439000,"里程: 115,107km, 評價: A+, 來源: PDF"
FORD FOCUS 白 (2021),351000,"里程: 0km, 評價: B, 來源: PDF"
FORD FOCUS 藍 (2021),490000,"里程: 102,399km, 評價: B+, 來源: PDF"
FORD FOCUS 灰 (2021),290000,"里程: 147,296km, 評價: A, 來源: PDF"
FORD FOCUS 白 (2022),459000,"里程: 39,093km, 評價: A+, 來源: PDF"
FORD FOCUS 白 (2023),455000,"里程: 60,870km, 評價: A+, 來源: PDF"
FORD FOCUS 白 (2023),715000,"里程: 18,730km, 評價: B+, 來源: PDF"
FORD FOCUS 藍 (2023),702000,"里程: 29,636km, 評價: A+, 來源: PDF"
FORD KUGA 灰 (2014),140955,"里程: 140,955km, 評價: A+, 來源: PDF"
FORD KUGA 黑 (2014),157000,"里程: 65,379km, 評價: A+, 來源: PDF"
FORD KUGA 黑 (2014),151741,"里程: 151,741km, 評價: A+, 來源: PDF"
FORD KUGA 白 (2014),152280,"里程: 152,280km, 評價: A, 來源: PDF"
FORD KUGA 灰 (2014),141087,"里程: 141,087km, 評價: , 來源: PDF"
FORD KUGA 黑 (2016),212928,"里程: 212,928km, 評價: B+, 來源: PDF"
FORD KUGA 白 (2016),143000,"里程: 72,192km, 評價: A+, 來源: PDF"
FORD KUGA 白 (2017),248236,"里程: 248,236km, 評價: A+, 來源: PDF"
FORD KUGA 白 (2018),165410,"里程: 165,410km, 評價: A, 來源: PDF"
FORD KUGA 白 (2018),234000,"里程: 89,714km, 評價: A, 來源: PDF"
FORD KUGA 白 (2020),299000,"里程: 65,367km, 評價: A+, 來源: PDF"
FORD KUGA 白 (2020),195000,"里程: 51,513km, 評價: B+, 來源: PDF"
FORD KUGA 灰 (2020),429000,"里程: 29,973km, 評價: A+, 來源: PDF"
FORD KUGA 黑 (2020),335000,"里程: 102,487km, 評價: A, 來源: PDF"
FORD KUGA 黑 (2020),400000,"里程: 94,456km, 評價: A+, 來源: PDF"
FORD KUGA 白 (2020),300000,"里程: 150,228km, 評價: A+, 來源: PDF"
FORD KUGA 白 (2020),353000,"里程: 126,900km, 評價: A+, 來源: PDF"
FORD KUGA 藍 (2021),369000,"里程: 110,722km, 評價: A+, 來源: PDF"
FORD KUGA 白 (2022),479000,"里程: 18,420km, 評價: A, 來源: PDF"
FORD KUGA 藍 (2022),533000,"里程: 59,954km, 評價: A+, 來源: PDF"
FORD KUGA 藍 (2023),502000,"里程: 39,592km, 評價: A+, 來源: PDF"
FORD MONDEOHYBRID 深紅 (2015),148174,"里程: 148,174km, 評價: B+, 來源: PDF"
FORD MUSTANG 黑 (2015),608000,"里程: 133,331km, 評價: A+, 來源: PDF"
FORD RANGER 橙黃 (2018),410000,"里程: 9,814km, 評價: N, 來源: PDF"
FUSO FM 白藍 (2025),3181000,"里程: 6,992km, 評價: N, 來源: PDF"
SUPER GREAT 綠 (2012),750911,"里程: 750,911km, 評價: N, 來源: PDF"
SUPER GREAT 綠 (2014),1887740,"里程: 1,887,740km, 評價: N, 來源: PDF"
GOGORO S2 深綠 (2022),16000,"里程: 0km, 評價: N, 來源: PDF"
GOGORO S2 深灰 (2022),16000,"里程: 0km, 評價: N, 來源: PDF"
GOGORO SUPERSPORT 深綠 (2022),26000,"里程: 0km, 評價: N, 來源: PDF"
SUPERSPORT 黑 深藍 (2022),22000,"里程: 0km, 評價: N, 來源: PDF"
GOGORO SUPERSPORT 深綠 (2023),24000,"里程: 19,718km, 評價: N, 來源: PDF"
HINO 白紅 (2010),350000,"里程: 15,935km, 評價: A+, 來源: PDF"
HINO 白 (2013),290000,"里程: 106,233km, 評價: B, 來源: PDF"
HINO 白 (2020),1119000,"里程: 14,482km, 評價: A+, 來源: PDF"
HINO 白 (2020),1117000,"里程: 12,919km, 評價: A+, 來源: PDF"
HINO 白 (2020),1110000,"里程: 7,418km, 評價: A+, 來源: PDF"
HINO 白綠 (2021),1073000,"里程: 84,476km, 評價: A, 來源: PDF"
HINO 白 (2021),1151000,"里程: 38,230km, 評價: A+, 來源: PDF"
HINO 白綠 (2022),988000,"里程: 183,915km, 評價: A+, 來源: PDF"
HINO 白綠 (2022),1116000,"里程: 92,589km, 評價: A+, 來源: PDF"
HINO 白 (2022),1012000,"里程: 113,551km, 評價: B+, 來源: PDF"
HINO 白 (2023),1238000,"里程: 46,970km, 評價: A+, 來源: PDF"
HINO 白藍 (2021),2283000,"里程: 48,194km, 評價: N, 來源: PDF"
HONDA CBR150R 紅黑 (2021),49000,"里程: 0km, 評價: N, 來源: PDF"
HONDA CITY 黑 (2016),199000,"里程: 46,325km, 評價: A, 來源: PDF"
HONDA CITY 深藍 (2017),124000,"里程: 106,803km, 評價: , 來源: PDF"
HONDA CITY 深藍 (2018),207000,"里程: 36,017km, 評價: B, 來源: PDF"
 (2025),202511,"里程: Unknown, 評價: , 來源: PDF"
HONDA CIVIC 白 (2007),224805,"里程: 224,805km, 評價: B, 來源: PDF"
HONDA CIVIC 銀 (2008),234009,"里程: 234,009km, 評價: A+, 來源: PDF"
HONDA CIVIC 深灰 (2010),248703,"里程: 248,703km, 評價: , 來源: PDF"
HONDA CIVIC 黑 (2010),141732,"里程: 141,732km, 評價: B+, 來源: PDF"
HONDA CIVIC 白 (2010),150000,"里程: 121,381km, 評價: B, 來源: PDF"
HONDA CIVIC 深灰 (2010),255586,"里程: 255,586km, 評價: B, 來源: PDF"
HONDA CIVIC 深灰 (2011),155784,"里程: 155,784km, 評價: , 來源: PDF"
HONDA CIVIC 白 (2013),169035,"里程: 169,035km, 評價: , 來源: PDF"
HONDA CIVIC 紅 (2013),191193,"里程: 191,193km, 評價: A, 來源: PDF"
HONDA CIVIC 深灰 (2013),155000,"里程: 124,609km, 評價: , 來源: PDF"
HONDA CIVIC 深灰 (2013),108000,"里程: 98,687km, 評價: , 來源: PDF"
HONDA CIVIC 白 (2013),254480,"里程: 254,480km, 評價: , 來源: PDF"
HONDA CIVIC 白 (2013),156239,"里程: 156,239km, 評價: C+, 來源: PDF"
HONDA CIVIC 深灰 (2013),144000,"里程: 68,298km, 評價: , 來源: PDF"
HONDA CIVIC 白 (2014),204574,"里程: 204,574km, 評價: B, 來源: PDF"
HONDA CIVIC 深灰 (2014),157196,"里程: 157,196km, 評價: B, 來源: PDF"
HONDA CIVIC 白 (2014),141123,"里程: 141,123km, 評價: B, 來源: PDF"
HONDA CRF 紅白 (2021),101000,"里程: 0km, 評價: N, 來源: PDF"
HONDA CR-V 銀 (2008),127172,"里程: 127,172km, 評價: A, 來源: PDF"
HONDA CR-V 深灰 (2008),140085,"里程: 140,085km, 評價: A, 來源: PDF"
HONDA CR-V 深灰 (2010),245493,"里程: 245,493km, 評價: A, 來源: PDF"
HONDA CR-V 棕 (2010),204605,"里程: 204,605km, 評價: B, 來源: PDF"
HONDA CR-V 深灰 (2010),249075,"里程: 249,075km, 評價: A, 來源: PDF"
HONDA CR-V 深灰 (2010),236628,"里程: 236,628km, 評價: B, 來源: PDF"
HONDA CR-V 深灰 (2011),354108,"里程: 354,108km, 評價: A, 來源: PDF"
HONDA CR-V 白 (2011),117293,"里程: 117,293km, 評價: B, 來源: PDF"
HONDA CR-V 深灰 (2011),134000,"里程: 40,378km, 評價: , 來源: PDF"
HONDA CR-V 深灰 (2012),232748,"里程: 232,748km, 評價: A+, 來源: PDF"
HONDA CR-V 白 (2012),276990,"里程: 276,990km, 評價: B, 來源: PDF"
HONDA CR-V 深棕 (2013),162013,"里程: 162,013km, 評價: A, 來源: PDF"
HONDA CR-V 深灰 (2013),200756,"里程: 200,756km, 評價: B, 來源: PDF"
HONDA CR-V 黑 (2013),265885,"里程: 265,885km, 評價: , 來源: PDF"
HONDA CR-V 白 (2014),265000,"里程: 87,645km, 評價: A, 來源: PDF"
HONDA CR-V 深棕 (2014),149000,"里程: 104,237km, 評價: , 來源: PDF"
HONDA CR-V 深灰 (2014),212389,"里程: 212,389km, 評價: A+, 來源: PDF"
HONDA CR-V 白 (2014),372348,"里程: 372,348km, 評價: , 來源: PDF"
HONDA CR-V 白 (2014),247498,"里程: 247,498km, 評價: , 來源: PDF"
HONDA CR-V 黑 (2014),217000,"里程: 142,098km, 評價: B, 來源: PDF"
HONDA CR-V 白 (2014),154000,"里程: 131,753km, 評價: , 來源: PDF"
HONDA CR-V 白 (2014),220000,"里程: 169,012km, 評價: A+, 來源: PDF"
HONDA CR-V 白 (2014),200000,"里程: 147,751km, 評價: B, 來源: PDF"
HONDA CR-V 深灰 (2015),194455,"里程: 194,455km, 評價: A+, 來源: PDF"
HONDA CR-V 白 (2016),267000,"里程: 156,520km, 評價: B+, 來源: PDF"
HONDA CR-V 深灰 (2016),318000,"里程: 98,266km, 評價: A+, 來源: PDF"
HONDA CR-V 銀 (2016),192682,"里程: 192,682km, 評價: B, 來源: PDF"
HONDA CR-V 銀 (2016),140000,"里程: 114,712km, 評價: N, 來源: PDF"
HONDA CR-V 銀 (2017),161808,"里程: 161,808km, 評價: B, 來源: PDF"
HONDA CR-V 白 (2017),410000,"里程: 167,239km, 評價: B, 來源: PDF"
HONDA CR-V 深綠 (2018),459000,"里程: 81,375km, 評價: A+, 來源: PDF"
HONDA CR-V 深灰 (2018),444000,"里程: 96,831km, 評價: , 來源: PDF"
HONDA CR-V 深綠 (2018),353000,"里程: 109,996km, 評價: B, 來源: PDF"
HONDA CR-V 黑 (2019),552000,"里程: 74,595km, 評價: A+, 來源: PDF"
HONDA CR-V 白 (2019),504000,"里程: 88,463km, 評價: A+, 來源: PDF"
HONDA CR-V 深綠 (2019),509000,"里程: 93,701km, 評價: A+, 來源: PDF"
HONDA CR-V 黑 (2019),380000,"里程: 98,640km, 評價: B, 來源: PDF"
HONDA CR-V 黑 (2019),375000,"里程: 227,596km, 評價: A, 來源: PDF"
HONDA CR-V 黑 (2019),430000,"里程: 132,465km, 評價: A, 來源: PDF"
 (2025),202511,"里程: Unknown, 評價: , 來源: PDF"
HONDA CR-V 白 (2020),440000,"里程: 168,932km, 評價: A, 來源: PDF"
HONDA CR-V 白 (2020),326000,"里程: 275,136km, 評價: A, 來源: PDF"
HONDA CR-V 深灰 (2020),507000,"里程: 64,293km, 評價: A+, 來源: PDF"
HONDA CR-V 深灰 (2020),529000,"里程: 61,965km, 評價: A+, 來源: PDF"
HONDA CR-V 深灰 (2020),403000,"里程: 164,329km, 評價: A+, 來源: PDF"
HONDA CR-V 深灰 (2021),632000,"里程: 75,449km, 評價: A+, 來源: PDF"
HONDA CR-V 白 (2022),656000,"里程: 45,042km, 評價: A+, 來源: PDF"
HONDA CR-V 白 (2022),627000,"里程: 78,725km, 評價: A+, 來源: PDF"
HONDA CR-V 黑 (2022),571000,"里程: 32,108km, 評價: A, 來源: PDF"
HONDA CR-V 黑 (2022),570000,"里程: 45,553km, 評價: A+, 來源: PDF"
HONDA CR-V 白 (2022),562000,"里程: 91,808km, 評價: A, 來源: PDF"
HONDA CR-V 黑 (2022),502000,"里程: 51,111km, 評價: , 來源: PDF"
HONDA CR-V 白 (2022),581000,"里程: 60,577km, 評價: A+, 來源: PDF"
HONDA CR-V 深灰 (2022),442000,"里程: 104,683km, 評價: C+, 來源: PDF"
HONDA CR-V 白 (2022),690000,"里程: 26,992km, 評價: A+, 來源: PDF"
HONDA CR-V 黑 (2022),556000,"里程: 111,390km, 評價: B, 來源: PDF"
HONDA CR-V 黑 (2022),535000,"里程: 62,273km, 評價: B+, 來源: PDF"
HONDA CR-V 黑 (2022),550000,"里程: 35,738km, 評價: A+, 來源: PDF"
HONDA CR-V 黑 (2022),591000,"里程: 23,090km, 評價: A+, 來源: PDF"
HONDA CR-V 黑 (2022),470000,"里程: 42,890km, 評價: B, 來源: PDF"
HONDA CR-V 銀 (2022),570000,"里程: 78,988km, 評價: B, 來源: PDF"
HONDA CR-V 白 (2022),603000,"里程: 26,117km, 評價: A+, 來源: PDF"
HONDA CR-V 深灰 (2022),502000,"里程: 22,863km, 評價: C+, 來源: PDF"
HONDA FIT 深灰 (2010),94000,"里程: 85,377km, 評價: B, 來源: PDF"
HONDA FIT 深灰 (2010),170663,"里程: 170,663km, 評價: A, 來源: PDF"
HONDA FIT 深灰 (2010),312350,"里程: 312,350km, 評價: , 來源: PDF"
HONDA FIT 白 (2011),139924,"里程: 139,924km, 評價: , 來源: PDF"
HONDA FIT 白 (2011),164423,"里程: 164,423km, 評價: B, 來源: PDF"
HONDA FIT 白 (2011),147304,"里程: 147,304km, 評價: B, 來源: PDF"
HONDA FIT 深灰 (2013),240784,"里程: 240,784km, 評價: B, 來源: PDF"
HONDA FIT 白 (2013),172380,"里程: 172,380km, 評價: B, 來源: PDF"
HONDA FIT 藍 (2014),185000,"里程: 154,466km, 評價: A, 來源: PDF"
HONDA FIT 白 (2015),184599,"里程: 184,599km, 評價: N, 來源: PDF"
HONDA FIT 深灰 (2016),166248,"里程: 166,248km, 評價: B, 來源: PDF"
HONDA FIT 白 (2018),230000,"里程: 104,847km, 評價: B, 來源: PDF"
HONDA FIT 白 (2019),321000,"里程: 85,686km, 評價: , 來源: PDF"
HONDA FIT 白 (2020),355000,"里程: 31,734km, 評價: B, 來源: PDF"
